날짜,전국,서울,경기,인천,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2009-09-30,83.18313466,95.01587,97.0213977,99.25699191,63.2368616,62.79298555,67.74501927,77.19658449,72.91991391,,72.02138369,72.02248302,78.97830616,76.30414357,78.11761533,74.8521343,70.28118435,58.71758232
2009-10-31,83.50738374,95.32825577,97.27115353,99.55987282,63.70443381,63.0344861,67.80206705,77.92130781,73.18644834,,72.18022107,72.28555643,79.25126798,76.97228972,78.76290045,74.88430011,70.6435055,59.04381489
2009-11-30,83.764953,95.33594343,97.24946623,99.67274427,64.57202052,63.19897498,67.78229658,78.70476636,73.72304475,,72.49795326,72.53491326,79.4168985,77.79050621,78.89403733,75.0959449,71.2002231,59.60944379
2009-12-31,83.89927906,95.3342815,97.10217271,99.56714355,65.11764379,63.38065815,67.86535246,79.2484274,74.0535103,,72.68092214,72.73818334,79.52613949,78.45413485,79.45218751,75.18501397,71.38225719,59.94075724
2010-01-31,84.01247088,95.41064517,97.00389724,99.56496116,65.50020288,63.47097793,67.950091,79.71002594,74.30458523,,72.72184445,72.89675539,79.57292931,78.80245179,79.91415987,75.18630811,71.57040639,60.17178981
2010-02-28,84.31049626,95.6564246,97.01163468,99.51263222,66.33665796,63.58568316,68.04242613,80.75138515,74.59665321,,72.97104314,73.17351836,79.75278143,79.55252299,80.48067538,75.22065997,72.12276411,60.95938869
2010-03-31,84.53045212,95.640901,96.92609703,99.5332077,67.2962526,63.64288263,68.16844028,81.28727457,74.8728156,,73.28661985,73.42028027,79.92679588,80.2216399,81.1603934,75.20472675,72.73857769,61.19321194
2010-04-30,84.68282528,95.54441518,96.64902191,99.30777672,68.3140172,63.71476751,68.2574871,82.0087093,75.22555025,,73.50333743,73.74790008,80.01359911,80.83588682,81.55818272,75.15015028,73.36944804,61.73713659
2010-05-31,84.6936587,95.11244844,96.00043403,98.94611001,69.27614799,63.80227025,68.46751554,82.46368715,75.70925458,,73.56812864,74.16635182,80.08799434,81.4650289,82.03982534,75.10293489,74.32295126,62.36369516
2010-06-30,84.63825765,94.7510041,95.3440934,98.5157649,69.97108581,63.82163793,68.61193029,82.57343474,75.87725758,,73.61766056,74.49832378,80.14532775,82.5906854,82.1692681,74.8693309,75.1474758,63.13456419
2010-07-31,84.4858204,94.29285883,94.55628957,97.90332405,70.52704186,63.80121262,68.6141595,82.74234441,75.994719,,73.92033468,74.82414551,80.09639535,83.94381934,82.41758696,74.67703432,75.59580045,64.17646359
2010-08-31,84.40351435,93.85724132,94.01432873,97.5033096,71.08277898,63.83547008,68.7891927,83.10633965,76.03645262,,74.11894008,75.07264208,80.19085929,84.46481859,82.63707633,74.50717084,76.20333948,64.37438739
2010-09-30,84.49550576,93.61941717,93.79569228,97.20547839,71.80810359,63.9559702,68.90665029,83.62825564,76.2518486,,74.15758125,75.44674713,80.261792,85.15494422,82.97052701,74.52239292,76.97255362,64.47109985
2010-10-31,84.68240591,93.44115747,93.62838819,97.08260814,72.84427928,64.14478394,69.19920867,84.23200114,76.46086725,,74.23344656,75.97545197,80.28490634,85.78281807,83.30223346,74.6427996,77.88112171,64.65820419
2010-11-30,85.06514822,93.32859937,93.54090495,96.87888923,74.27154702,64.47359212,69.57153076,85.17746065,76.85971394,,74.32148815,76.7357073,80.49744567,86.43218745,84.14994411,75.13159939,79.77230819,65.28015748
2010-12-31,85.49051317,93.3701735,93.60468393,96.80827593,75.54356197,64.74393237,70.20421624,86.60164901,77.08485071,,74.50450486,77.40903651,80.66163333,87.31449232,84.51657733,75.39313685,81.34020616,65.88465733
2011-01-31,85.96503306,93.50084764,93.76801268,96.76078214,76.85326241,65.0463275,70.76603321,87.7849225,77.57530063,,74.78200677,78.03695443,80.86170133,88.03943936,84.98898823,75.87899602,82.90895809,66.59782746
2011-02-28,86.78593548,93.76087816,94.17130174,96.77317299,78.70827699,65.82756448,72.12234146,89.91159818,78.40206795,,75.36431965,79.3703841,81.25857748,89.68016017,85.6941525,76.12439504,85.12439466,67.15960867
2011-03-31,87.78180904,93.89117081,94.60988743,96.85622172,80.85816621,66.74669877,73.82793826,91.79549593,79.91984046,,76.1105358,81.43342201,82.13177409,90.79212534,86.72890958,77.10102652,88.67584728,67.34407243
2011-04-30,89.06410704,93.90075037,94.82699602,96.8881361,84.73863425,67.92909764,76.50864332,93.32040702,81.37863713,,77.49109621,82.72205615,83.39766271,92.40386285,87.86539705,77.99647694,94.96140514,67.60453912
2011-05-31,89.29802418,93.93302611,94.83601541,96.83479175,85.58677393,68.24775283,77.35883846,92.64970213,81.75047064,,77.12948992,82.91727905,83.95260038,93.01452055,89.09003744,78.12707883,95.74132152,67.49564474
2011-06-30,89.85584105,93.82298163,94.8385225,96.65344239,86.88440819,68.9165439,78.95158024,94.6768386,82.90421433,,78.95180816,84.13133235,84.73359703,94.2052712,90.46547404,78.70418344,97.03612324,67.82790704
2011-07-31,90.33132704,93.67151965,94.81932734,96.35251046,88.02935201,69.59015581,80.29606056,96.79781753,83.77178866,,80.62442816,86.09800309,85.51259859,95.48195004,90.72006158,79.1622973,97.99897758,68.30548216
2011-08-31,90.89810252,93.58368606,94.83615339,96.18169774,89.09724117,70.42384137,81.82018873,98.52674553,84.58342004,,84.53815612,87.72116104,86.45409327,97.04962844,91.39052592,79.75368393,99.19149406,68.57370114
2011-09-30,91.47091713,93.46973549,94.93909181,95.88399709,90.16010043,71.3575834,83.74038777,99.88058448,85.52784954,,85.99768269,89.58320617,87.44304983,98.80451157,92.3290956,80.61064622,100.436177,69.34462245
2011-10-31,91.88376726,93.34659362,95.02147495,95.51145904,90.87028771,72.0682278,84.82659094,100.8341822,86.50524968,,87.03236274,90.95286958,88.60018768,99.9570967,93.34641107,81.44223159,101.3355662,70.48182068
2011-11-30,92.34289455,93.17496449,94.98575332,95.16490619,92.00214534,73.16983114,85.47422256,101.0793243,88.77896264,,88.31306286,91.98015974,90.05061201,101.2769999,95.36526674,82.6063819,102.0251196,71.53636603
2011-12-31,92.49446303,93.0135875,94.85697486,95.00194509,92.29002906,73.61595483,85.94743966,100.8831652,89.73799378,,88.80321739,92.78081164,90.62081573,102.0484472,97.00743701,83.32901618,102.1121561,72.64703971
2012-01-31,92.75621629,92.76197662,94.56171461,94.81394812,92.19268539,75.24673461,86.83851914,100.4610433,90.83916952,,90.61878359,93.38018049,91.53675773,103.3638493,98.15898322,84.43509927,102.2654855,74.07017676
2012-02-29,92.76556103,92.52721385,94.49369326,94.56599604,91.92641581,75.64082272,86.84353745,99.97481059,91.77779078,,91.24713207,93.72136923,91.73332513,103.5973428,98.48176019,84.69965992,102.1496021,76.10541462
2012-03-31,92.78574258,92.12737949,94.26665712,94.35898497,91.68793811,76.13909626,87.38390349,99.77742204,92.50456287,,91.71859627,94.29258043,92.42899205,104.4326349,98.28502588,85.39521547,102.1160934,76.4003369
2012-04-30,92.72324975,91.60549404,94.0179027,94.14980883,91.36475924,76.56483935,87.64679659,99.44952592,93.26310911,,92.08664268,94.83509525,92.87179827,104.7025341,98.97628929,85.85157279,101.9884707,77.11030705
2012-05-31,92.59352942,91.10813302,93.68646765,93.72662411,91.0342456,76.80331928,88.19586633,99.18805948,93.98208578,,92.11169339,95.38851332,93.25991257,104.4817942,99.17726645,86.29790411,101.6621241,79.80403702
2012-06-30,92.30495206,90.38926409,93.25923812,93.22724923,90.5154204,76.88246887,88.71618324,98.37935947,94.53132218,,92.15529851,95.67306396,93.49016626,104.1484394,99.59866453,86.70078968,101.1993882,79.78617391
2012-07-31,91.94403937,89.77836814,92.68722186,92.62901726,90.0693775,76.98175808,88.90793593,97.81042564,94.04751355,,92.14848014,95.73049655,93.81442193,103.7384226,99.55592249,87.08521068,100.6678458,79.80753206
2012-08-31,91.55077528,88.97268933,92.02982491,91.99965871,89.55934822,77.20030925,88.8737296,96.96106962,93.84046126,,92.04723656,95.7778199,94.31171692,103.5944635,99.80664394,87.71277624,100.2677586,79.90117576
2012-09-30,91.23833463,88.37942954,91.3849315,91.49201074,89.28010046,77.37336096,88.88025353,96.8063304,93.72276327,,92.00097012,95.70373304,94.75745295,102.7717114,100.0288539,88.35820896,100.1441088,79.87351484
2012-10-31,90.98871665,87.8303963,90.84466575,90.89802323,89.14707496,77.56667558,88.88962778,96.89956052,93.68875823,,91.94888635,95.79684706,95.19313088,102.3604828,100.101499,88.81399257,100.1020923,79.8759461
2012-11-30,90.78289804,87.388025,90.36531327,90.40408139,89.00960169,77.80203093,89.01329695,97.12424735,94.00207929,90.26366354,91.91726035,96.00548828,95.57853128,101.6794146,99.73844808,89.29194058,100.0103636,79.81640562
2012-12-31,90.52837081,86.82946732,89.86728863,89.81561997,88.71499449,78.3629028,89.25514959,97.1938972,93.73435405,91.71267039,91.95832508,96.16272805,96.32251055,100.6464187,99.57496942,89.77701382,99.67763334,79.40742145
2013-01-31,90.23521549,86.28619929,89.29294509,89.08937883,88.4243184,78.91670831,89.27779778,97.2401302,93.62190366,93.14062419,91.83309314,96.08258112,96.81050234,99.89156604,99.52275837,90.36280493,99.31432404,79.19706017
2013-02-28,90.03189324,85.95202683,88.89836585,88.58143268,88.21311588,79.1131813,89.37226976,97.15539929,93.44786175,94.19924822,91.63377839,96.12525116,96.98401144,99.81264615,99.25119875,90.79796595,99.10661139,79.1788608
2013-03-31,89.93830877,85.84651304,88.6109691,88.24437278,88.07190292,79.31691323,89.51548191,97.23052388,93.28567121,95.38702516,91.33697198,96.14114435,97.20643636,99.63659413,99.05305359,91.39165041,99.09594799,79.14363819
2013-04-30,90.10435393,85.96432998,88.58213613,88.42546657,88.08468782,80.2040995,89.79460333,97.51626411,93.36295416,96.26879629,91.38871051,96.44679756,97.45738038,99.65102236,98.81361749,92.03479365,99.38632725,79.28792155
2013-05-31,90.33190616,86.16691033,88.77308622,88.50708545,88.15061362,81.02442781,89.98546435,97.63611741,93.40505109,97.02850274,91.53143309,96.55394427,97.87784436,99.58620676,98.66929659,92.84747766,99.61174421,79.24762642
2013-06-30,90.40055811,85.97684707,88.81544368,88.50798777,88.11052638,81.94334387,90.06136142,97.67908168,93.52786372,97.22874226,91.31039517,96.6255815,98.14504551,99.32722717,98.50444461,93.57815711,99.69905406,79.27870083
2013-07-31,90.35020352,85.52043579,88.60251464,88.42745823,87.95107409,83.21316053,90.03158385,97.42396798,93.58637589,97.03967066,91.19215243,96.69747518,98.36894002,99.09101036,98.17988973,94.75485096,99.65982979,79.26927388
